 DEBUG root [2018-05-21 08:48:54,601] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 08:48:54,602] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 08:48:54,602] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 08:48:54,603] - Address::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 08:48:54,603] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2018-05-21 08:48:54,603] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2018-05-21 08:48:54,603] - tool(0) has shut down. ClientSDK=1
  INFO root [2018-05-21 08:48:55,606] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2018-05-21 15:30:43,539] - 
  INFO root [2018-05-21 15:30:43,539] - -----------------------------------------------------------------------------------------


  INFO root [2018-05-21 15:30:43,539] - Resmgr::initialize: KBE_ROOT=D:/noah/ChessWarrior/server/
  INFO root [2018-05-21 15:30:43,540] - Resmgr::initialize: KBE_RES_PATH=D:/noah/ChessWarrior/server/kbe/res/;D:/noah/ChessWarrior/server/chess_assets/;D:/noah/ChessWarrior/server/chess_assets/scripts/;D:/noah/ChessWarrior/server/chess_assets/res/
  INFO root [2018-05-21 15:30:43,540] - Resmgr::initialize: KBE_BIN_PATH=D:/noah/ChessWarrior/server/kbe/bin/server/
  INFO root [2018-05-21 15:30:43,543] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.111 ( 192.168.0.111:54325 )
  INFO root [2018-05-21 15:30:43,543] - NetworkInterface::initialize(INTERNAL): address 192.168.0.111:54325, SOMAXCONN=5.
  INFO root [2018-05-21 15:30:43,549] - ---- tool Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: F217117F928F68467C45B47BA31B1B8B. Config: Debug X86. Built: 15:51:05 May 15 2018. AppID: 0. UID: 30525. PID: 13544 ----
  INFO root [2018-05-21 15:30:43,549] - Server : Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz with 2097151kB RAM
  INFO root [2018-05-21 15:30:43,550] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-05-21 15:30:43,550] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
 DEBUG root [2018-05-21 15:30:43,681] - Script::install_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-05-21 15:30:43,683] - Script::install_py_dlls(): PyInit__socket
 DEBUG root [2018-05-21 15:30:43,683] - Script::install_py_dlls(): PyInit__ssl
 DEBUG root [2018-05-21 15:30:43,687] - Script::install_py_dlls(): PyInit__hashlib
 DEBUG root [2018-05-21 15:30:43,688] - Script::install_py_dlls(): PyInit_select
 DEBUG root [2018-05-21 15:30:43,688] - Script::install_py_dlls(): PyInit__ctypes
 DEBUG root [2018-05-21 15:30:43,689] - Script::install_py_dlls(): PyInit__elementtree
 DEBUG root [2018-05-21 15:30:43,723] - Script::install_py_dlls(): PyInit_unicodedata
  INFO root [2018-05-21 15:30:43,764] - Script::install(): is successfully, Python=(3.4.2 (default, May 15 2018, 15:51:04) [MSC v.1900 32 bit (Intel)])!
  INFO root [2018-05-21 15:30:43,764] - Script::install(): KBExtra is successfully!
 DEBUG root [2018-05-21 15:30:44,379] - ClientSDK::writeServerErrorDescrsModule(): ..\..\client\Assets\Scripts\Net//ServerErrorDescrs.cs
 DEBUG root [2018-05-21 15:30:44,380] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/ServerErrorDescrs.cs
 DEBUG root [2018-05-21 15:30:44,390] - ClientSDK::writeEngineMessagesModule(): ..\..\client\Assets\Scripts\Net//Messages.cs
 DEBUG root [2018-05-21 15:30:44,394] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/Messages.cs
 DEBUG root [2018-05-21 15:30:44,401] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/KBETypes.cs
 DEBUG root [2018-05-21 15:30:44,405] - ClientSDK::writeEntityDefsModule(): ..\..\client\Assets\Scripts\Net//EntityDef.cs
 DEBUG root [2018-05-21 15:30:44,408] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityDef.cs
 DEBUG root [2018-05-21 15:30:44,418] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/CustomDataTypes.cs
 DEBUG root [2018-05-21 15:30:44,419] - ClientSDK::writeEntityModule(): ..\..\client\Assets\Scripts\Net//Account
 DEBUG root [2018-05-21 15:30:44,420] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/AccountBase.cs
 DEBUG root [2018-05-21 15:30:44,426] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityCallAccountBase.cs
 DEBUG root [2018-05-21 15:30:44,431] - ClientSDK::writeEntityModule(): ..\..\client\Assets\Scripts\Net//Chess
 DEBUG root [2018-05-21 15:30:44,433] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/ChessBase.cs
 DEBUG root [2018-05-21 15:30:44,439] - ClientSDK::saveFile(): ..\..\client\Assets\Scripts\Net/EntityCallChessBase.cs
